职位,最高薪资,最低薪资,薪资,全职/兼职,经验,学历,省份,城市,区域,经度,纬度,公司,公司领域,公司规模,公司类型,职位标签,职位描述,职位详情页,公司详情页
技术服务工程师/转播工程师,12000.0,8000.0,8千-1.2万,全职,无需经验,大专,,北京,,116.376644,39.852727,上海敬谊会务服务,通信/电信/网络设备,50-150人,民营,"无需经验,大专,计算机,运维,photoshop,互联网,obs,vmix,多媒体,技术支持,理工科,五险一金,补充医疗保险,年终奖金,定期体检,专业培训,员工旅游","1）负责视/音频直播、转播项目的现场技术支持，完成指定的任务和工作。
2）负责公司内外部客户的技术支持与服务。
3）协助销售完成售前、售后的技术支持工作。
4）完成部门交派的其他技术任务。
岗位要求：
1）中专及以上学历，计算机、电子信息、通信工程、多媒体技术等理工科相关专业。
2）熟悉、掌握计算机相关知识及网络原理，了解互联网基础知识。
3）思路清晰，良好的表达能力、信息收集及分析能力、资料撰写能力；成就导向，良好的组织策划、协调推动能力。
4）优秀的人际交往和沟通能力，工作积极主动、尽职负责，具有团队合作精神。
5）良好的自我管理和自我约束能力，强烈的求知欲和较强的自学能力。
6）能够短期出差，接受频繁地周二至周四期间轮换休息、公休日（周六+周日）上班工作。
7）有Photoshop基础、熟悉VMIX及obs者优先；具有集成设备调试、运维及技术支持相关经验者优先。",https://jobs.51job.com/beijing-ftq/168610644.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAmJQNlA2UWYFYwFkUjY.html
双休/包食宿/智能运维,12000.0,6000.0,6千-1.2万,全职,无需经验,,,北京,,116.440194,39.93046,河北恒建轨道交通,专业服务(咨询、人力资源、财会),,民营,"无需经验,机械,工程,电子商务,五险一金,就近分配,上五休二,机电一体,电气自动化,计算机,安检员,五险一金,包吃住,双休,餐补,年终奖金,定期体检,绩效奖金,餐饮补贴,员工旅游,带薪年假,交通补贴,节日福利,上五休二,晋升空间,包食宿","【工作内容】
1．负责对地铁车站机场等AFC系统设备进行维护保养;
2．负责如实填写日常工单、维修记录等相关表单
【工作要求】
1．年龄18-32周岁，中专/高中及以上学历；
【薪资详情】
薪资范围：转正综合薪资6k-1.2W，五险一金，包食宿，八小时长白班，上五休二，月休8天。
户籍地就近安排上岗",https://jobs.51job.com/beijing/170494067.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUzxTPwJoVGpVMVQ3AWQ.html
计算机运维管理员（双休 五险一金）,12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.24695,40.210137,北京棱澈科技,计算机软件,少于50人,民营,"无需经验,大专,计算机,linux,windows,网络,服务器,维护管理,故障排查,技术支持服务,终端设备,处理系统故障,双休,五险一金,系统培训,培训","【工作内容】
- 负责公司内部网络、服务器及终端设备的日常维护与管理；
- 处理系统故障，保障公司信息系统的稳定运行；
- 协助完成IT设备的安装、配置及升级工作；
- 配合其他部门解决技术问题，提供技术支持服务。
【任职要求】
- 大专及以上学历，计算机相关专业优先；
- 年龄在23-32岁之间，具备良好的沟通能力和责任心；
- 不限工作经验，有相关实习或项目经验者优先考虑；
- 熟悉Windows/Linux系统、网络基础知识，具备基本的故障排查能力。",https://jobs.51job.com/beijing/171542181.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTIAZARlVmEAbQVgUjBVbg.html
网络运维工程师（SD-WAN）北京,12000.0,7000.0,7千-1.2万,全职,1年及以上,本科,,北京,,116.467074,39.89842,广州朗桥维视通信技术,通信/电信运营、增值服务,50-150人,民营,"1年及以上,本科,计算机,电子,通信,技术交流,tcp/ip协议,思科,路由协议,sd_wan,客户报障,现场调试安装,带薪病假,下午茶,双休,年终奖,定期体检,意外险,五险一金,年假,旅游团建,员工活动,员工聚餐,购买五险,假日福利,节假日,法定节假","工作职责
1、配合客户经理完成与客户的技术交流、技术方案宣讲、应用系统演示等工作；
2、负责SD-WAN设备验收、配置、现场调试安装、跟进等；
3、处理客户报障问题；
4、记录项目特殊配置、编写项目配置技术文档；
5、测试并分析网络性能，评估网络潜在风险。

任职要求
1、本科及以上学历，计算机、通信、电子等相关专业优先，具有思科、华为、H3C认证证书的优先，1年以上相关工作经验，优先毕业生可投递；
2、熟悉TCP/IP协议，了解路由协议、局域网交换、MPLS技术、QOS、VXLAN等；
3、熟悉市面上主流网络设备厂商的产品线和技术特点；
4、具有良好的沟通能力、出色的学习能力、解决问题能力和动手能力，敏锐的风险意识和良好的风险识别能力，主动性强。

福利待遇
1、年终奖，入职起购买五险一金，意外险等；
2、工作时间：9:00-12:30，14:00-18:00，双休，国家法定节假日假期、年假、带薪病假等；
3、丰富多彩的员工活动：下午茶、员工聚餐、旅游团建、节假日福利、定期体检等；
4、优秀者薪资可谈。
5、北京、石家庄均有空缺岗位，有意者欢迎私聊",https://jobs.51job.com/beijing-cyq/171448688.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAWQAZAdhBTIDZAdiVDU.html
咨询顾问或高级咨询顾问（财务管理咨询方向）,15000.0,9000.0,9千-1.5万,全职,无需经验,硕士,,北京,,116.368437,39.92934,上海立信锐思信息管理,专业服务(咨询、人力资源、财会),50-150人,民营,"无需经验,硕士,计算机,办公软件,管理,数据分析,财务,咨询,编程,金蝶,经济,用友,保险,五险一金,绩效奖金,年终奖金,定期体检,员工旅游,通讯补贴,带薪年假,节日福利,补充医疗保险,周末双休","职位描述：
1. 参与或独立负责财务战略、计划与预算管理、经济评价、内部管理报表、财务共享中心建设、会计核算咨询等咨询项目现场工作，向项目经理汇报；
2. 协助开展财务分析、数据治理、财务信息化框架梳理、模型搭建等项目实施；
3. 协助项目组参与项目讨论，参与项目报告编写和管理建议输出，推进管理建议落实和跟踪；
4. 主动思考承接工作任务，遵守项目时间安排，保质保量完成工作内容和工作成果。
5. 完成领导交办的其他工作。
任职资格：
1.全日制硕士及以上学历，财务、经济、管理、计算机等专业；
2.曾有不少于3个月的财务咨询实习或管理会计工作经验；
3.需熟练掌握企业会计准则、管理会计指引等专业知识和理论；
4.有一定的财务信息化知识（用友、金蝶、SAP等国内外通用财务管理软件等）； 
5.较强的数据分析能力，熟悉Python、R或者其他数据分析工具；
6.清晰的逻辑思维能力较强、具有良好扎实的文字功底及语言沟通能力、自我管理及学习能力；
7.对咨询行业有强烈的兴趣与发展愿望，能够适应长期出差、高强度的工作和生活方式；
8.持有CPA、ACCA、CIMA等专业证书优先；
9.熟练掌握各类办公软件、AI软件，具有一定编程基础。",https://jobs.51job.com/beijing/168030356.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUjZXNlA7BjwFYAxuAGM.html
数据运营（双休加补贴）,12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.337382,40.000238,河南腾桓人力资源,专业服务(咨询、人力资源、财会),,民营,"无需经验,大专,数据分析,excel,sql,市场营销,营销,营销策略,数据支持,计算机科学,数字营销,统计学,双休,补贴","入职公司名称：济南三合文化传媒有限公司

工作地点：北京海淀区清华科技园

职位名称：数据运营
工作内容- 负责公司产品的数据分析，挖掘用户行为模式，为产品改进和市场策略提供数据支持；
- 制定并执行数据驱动的营销活动，以提高客户满意度和忠诚度；
- 分析业务流程中的数据瓶颈，提出解决方案，优化流程效率；
- 与跨部门团队紧密合作，确保数据的准确性和一致性；
- 定期生成数据分析报告，向管理层汇报关键指标和业务洞察；。
工作要求-- 熟练掌握SQL、Excel等数据分析工具，了解Python或R语言者优先；
- 具备较强的数据敏感度和逻辑思维能力，能够从复杂数据中提炼有价值的信息；
- 良好的沟通能力和团队协作精神，能够与不同背景的同事有效合作；
- 对数字营销有基本理解，能够基于数据制定有效的营销策略；
- 工作积极主动，具备较强的自我驱动力和学习能力，愿意接受新知识和技能的挑战；
- 专科学历及以上，统计学、计算机科学、市场营销等相关专业优先。
2、薪资详情

薪资范围：8000-12000

薪资结构：底薪＋全勤＋补助＋奖金",https://jobs.51job.com/beijing-hdq/164786456.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAm1TMwdjUW4AYwNiVDA.html
技术研发经理,10000.0,5000.0,5千-1万,全职,5年及以上,本科,,北京,,116.557255,39.914086,北京腾华善智科技,互联网/电子商务,少于50人,民营,"5年及以上,本科,培训,五险一金,带薪年假,股票期权,项目奖金,年终奖金,绩效奖金,交通补贴,出差补贴","【工作内容】
- 负责公司技术研发方向的规划与管理，进行新产品、新技术的研发与落地；
- 组织并领导技术团队完成项目开发任务，确保研发进度与质量；
- 协调跨部门资源，推动技术成果在业务中的应用与转化；
- 关注行业技术动态，持续优化研发流程和技术创新能力；
-完成软著与专利申报的相关文件编写，完成专利申报工作；
-完成产品与技术等文件的编制及评审工作；
-完成产品与技术文件的编码与存档备份工作；
-完成项目设计研发部署实施与验收工作。
【任职要求】
- 本科及以上学历，计算机、电子工程、自动化等相关专业背景；
- 具备5年以上技术研发管理经验，有成功项目落地案例优先；
- 熟悉研发流程管理，具备良好的团队领导力和沟通协调能力；
- 对技术有热情，具备较强的创新意识和问题解决能力；
-具有培训调用部署大模型及人工智能应用的能力；
-具有应用两种以上语言编程与解决问题的能力；
-具有快速学习边缘交叉专业知识技能并应用于研发交付的能力。",https://jobs.51job.com/beijing-cyq/171800100.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW4HY1c2Az9SMlYwVDgHNA.html
音视频系统集成工程师,,,9-15万/年,全职,3年及以上,大专,,北京,,116.475754,39.866508,上海中椽智能科技,电子技术/半导体/集成电路,少于50人,民营,"3年及以上,大专,计算机,办公软件,cad,施工图,ppt,office,方案设计,项目经理,系统集成,office软件,五险一金,带薪年假,弹性工作","1.具备3年及以上的音视频领域工作经验，熟悉音视频会议系统的原理和技术，了解常见音视频会议系统的架构；
2.有系统集成或多媒体项目工程施工及管理经验者优先；
3.熟悉音视频会议设备的安装、调试和维护，了解宝利通、华为、小鱼易连等产品；
4.熟悉音视频系统、视频系统、中控系统、大屏系统、智能会议、切换系统等知识，熟悉快思聪中控和思科视频会议系统；
5.需要熟练CAD制图，能出强弱电图纸或协调制图人员出强弱电图纸；
6.熟练使用office各类计算机办公软件；
7.应聘者需要具备良好的客户沟通能力，能够及时解决客户遇到的各种问题，并具备良好的团队协作能力和较强的执行力；
8.大多数职位要求大专及以上学历，计算机相关专业；
9.能够适应加班及出差的安排；
10.有较强的学习和接受能力；

岗位职责：
1.音视频系统产品的基本配单方案；
2.PPT方案的制作和讲接；
3.施工图/系统连接图的制作；
4.投标文件的撰写；
5.现场项目的实施管理；

要求熟悉：安防系统（监控、门禁、报警等）、机房系统、计算机网络系统、综合布线；
熟练掌握office软件、cad软件，visio等，
有项目经理经验、弱电智能化授权沟通和方案设计能力",https://jobs.51job.com/beijing-cyq/171776813.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUjIBZF49UmwBbQRgVTA.html
云计算运维,8000.0,5000.0,5-8千,全职,1年及以上,大专,,北京,,116.466851,39.887653,北京郡雅科贸,外包服务,50-150人,创业公司,"1年及以上,大专,IT技术支持,五险一金,补充医疗保险,补充公积金,绩效奖金,餐饮补贴,年终奖金","【工作内容】
- 负责公司云计算平台的日常运维与监控，确保系统稳定运行；
- 协助部署、配置和优化云环境，提升系统性能与安全性；
- 处理用户在使用云服务过程中遇到的技术问题，提供及时有效的支持；
- 编写运维相关文档及操作手册，提升团队协作效率；
- 参与云平台的容量规划与灾备方案设计，保障业务连续性。
【任职要求】
- 大专及以上学历，计算机相关专业，1年以上云计算或IT运维相关工作经验；
- 熟悉主流云平台（如AWS、阿里云、Azure）的架构与管理；
- 掌握Linux系统、网络基础及常见故障排查技能；
- 具备良好的沟通能力与服务意识，能够独立处理技术问题；
- 有自动化运维工具（如Ansible、Terraform）使用经验者优先。",https://jobs.51job.com/beijing-cyq/171457781.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGddOVAxBDJUMlMwVzNRbg.html
卫星太阳翼总体设计师,50000.0,25000.0,2.5-5万,全职,5年及以上,硕士,,北京,,116.139032,39.728952,北京曦光星翼科技,计算机软件,少于50人,民营,"5年及以上,硕士,五险一金,免费班车,年终奖金","岗位职责：
1. 对接卫星总体进行技术协调和沟通，精准理解、传递客户需求及技术状态要求。
2. 负责刚性/柔性太阳翼系统总体需求分析、任务剖面、技术指标分解等，完成系统方案设计论证，包含接口定义、系统构型、各分系统/结构选型等。
3. 负责结构、机构、电源、控制器、制造等各专业组的技术协调，组织设计方案论证、评审，在符合质量体系要求下，保证产品可靠性，统筹推进研制进度。
4. 主导编制、审议、评审各项《技术条件》、《设计方案》、《试验大纲》、《测试要求》、《验收规范》、《保证大纲》等技术文件。

任职资格：
1. 硕士及以上学历，航天飞行器、机械设计制造、电子电路设计等相关专业。
2. 5年以上航天器电源分系统总体设计经验，主导或参与过2个型号以上分系统研制全流程，产品有成功在轨经历。
3. 熟悉力学、结构、热控基本知识及技能，了解仿真分析要求。
4. 熟练掌握常用CAD/CAE设计仿真工具。
5. 有良好的沟通、表达能力及团队领导能力。
6. 有柔性太阳翼研制者优先。",https://jobs.51job.com/beijing/171781865.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coBGMBZVQ0Um4ObVYxBmRQYw.html
材料计算工程师,20000.0,15000.0,1.5-2万·13薪,全职,无需经验,硕士,,北京,,116.350557,40.018114,北京智能重构科技,互联网/电子商务,少于50人,外资（非欧美）,"无需经验,硕士,分子动力学模,***性原理,相场模拟,python,五险一金,餐饮补贴,交通补贴","【工作内容】
- 负责材料科学领域的计算模拟与数据分析，结合机器学习方法优化材料性能预测模型；
- 与研发团队协作，推动算法在实际材料开发中的应用落地（智能体）；
【任职要求】
- 硕士及以上学历，材料科学、物理、化学、计算机等相关专业；
- 熟悉AI相关发展应用及其实现，具备Python编程能力；
- 具备材料计算或相关领域研究经验者；
（如VASP、Lammps、DPMD、Comsol 相场模拟等研究经验）
- 具备良好的沟通能力和团队协作精神。

总之一句话，希望你又懂材料又懂模拟又懂python!",https://jobs.51job.com/beijing/170937148.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coB2BRNQRlUW0AYwBqVjALMg.html
计算机测试员（双休),12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.485882,39.911355,山东凯恩人力资源,专业服务(咨询、人力资源、财会),,民营,"无需经验,大专,朝九晚五,缴纳五险,周末双休,双休,节日福利,绩效奖金,年终奖金,定期体检,带薪年假,五险一金,节假日,法定节假","入职企业名字：皓代科技有限公司
入职地址：北京市大望写字楼
薪资待遇：基本工资+绩效奖金+年终奖金，薪资范围：8K-12K（根据经验、能力面议）
岗位职责：负责软件产品功能、性能及兼容性的测试工作，确保产品质量符合标准；
- 编写和执行测试用例，记录并跟踪软件缺陷，推动问题及时解决；
- 配合开发团队进行测试环境搭建与维护，参与测试流程优化；
- 协助完成项目测试报告及相关文档的编写。
招聘要求：计算机相关专业或有相关学习经历，接受应届毕业生或无经验者；
- 具备良好的逻辑思维能力和责任心，能够细致认真地完成测试任务；
- 有较强的学习能力，能快速掌握新工具和新技术；
- 工作态度积极，具备良好的沟通能力和团队合作精神。
上班时间：朝九晚五、周末双休
福利待遇：缴纳五险一金、带薪年假、法定节假日、节日福利、定期体检",https://jobs.51job.com/beijing/171438617.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coA2RXM1U3U2lTNQFlAGUFPQ.html
